N \ P |            1 |            2 |            3 |            4 |            5 |            6 |            7 |            8 |            9 |           10 |           11 |           12 |           13 |           14 |           15 |           16 |           17 |           18 |           19 |           20 |           21 |           22 |           23 |           24 |           25 |           26 |           27 |           28 |           29 |           30 |           31 |           32 |           33 |           34 |           35 |           36 |           37 |           38 |           39 |           40 |           41 |           42 |
    1 |  Ju-1∙  1.000|              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    2 |  Ju-2∙  1.000|   W-4∙  1.000|  Cq-5⁺  0.017|              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    3 |  Ju-3∙  1.000|   W-5∙  1.000|  Cq-6∙  1.000|  Af-7ª  1.194|              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    4 |              |              |  Cq-7∙  1.000|  Af-8∙  1.000|  Xl-9⁺  0.32 |  Pq-10⁺ 0.04 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    5 |              |              |              |  Af-9∙  1.000|  Xl-10ª 0.48 |  Pq-11⁺ 0.43 | *Zz-12⁺ 0.07 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    6 |              |              |              |  Af-10⁻ 0.290|  Xl-11∙ 1.11 |  Pq-12ª 0.69 |  Zz-13⁺ 0.52 |  Dx-14⁺ 0.334|              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    7 |              |              |              |              |  Xl-12⁻ 0.313|  Pq-13∙ 1.28 |  Zz-14ª 0.64 |  Dx-15⁺ 0.6  | *Pm-16⁺ 0.35 |  *M-17⁺ 0.16 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    8 |              |              |              |              | *Xl-13⁻ 0.07 |  Pq-14⁻ 0.56 |  Zz-15∙ 1.43 |  Dx-16∙ 1.6  |  Pm-17⁺ 0.68 |  *M-18⁺ 0.6  | *Fw-19⁺ 0.19 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
    9 |              |              |              |              |              |  Pq-15⁻ 0.27 |  Zz-16⁻ 0.57 |  Dx-17∙ 1.58 |  Pm-18⁺ 0.77 |   M-19⁺ 0.81 | *Fw-20⁺ 0.5  | *Pt-21⁺ 0.29 |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
   10 |              |              |              |              |              | *Pq-16⁻ 0.07 | *Zz-17⁻ 0.49 |  Dx-18∙ 1.65 |  Pm-19∙ 1.83 |   M-20∙ 1.94 |  Fw-21⁺ 0.84 |  Pt-22⁺ 0.71 |  *S-23⁺ 0.45 | *Zq-24⁺ 0.2  |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |
