| OTOMRO   |UNIVERSE| INPUTS                                                               =>    OUTPUTS                                                                            | NRG USED   | REACTION TYPE                | CHEMIST WALLET                             | initateReaction() TX HASH                                          | analyseReactions() TX HASH                                         |
|    37354*|bohr    |   Sr-1∙ +  Eb-19⁺ +  Eb-21∙ +  Yu-27⁺ +  Yu-29∙           +      105 => ⬇ Yu-29 + SrClXjEb(Cl-27,Sr-1>Eb-21,Xj-19)                               +      61.88 |      43.12 | chemical, decay              | 0x1fb20438ceb230a146f6dd8676e47589d3014f28 | 0x560c6065d7738196b27a8c9160015e98db3fdaa1f4bdc80db72aa03dcdf5dddc | 0x6c8170c8b45479a22a7d53f3904d06e328209ac0959c60016558cd7014a5ca62 |
|    37362*|bohr    |   Sr-3∙ +   As-5⁺ +   As-6∙ +  Ct-13⁺                     +       10 => ⬇ As-6 + Vi-13 + EiSr(Ei-5,Sr-3>)                                        +       1.88 |       8.12 | metallic, decay              | 0xf6e39aed488043217d58d875ec83c597da844500 | 0x364911351254e6b5f99c4b212cfc4bebdf52b2e95ff2cace45c68bd0cca8ab6b | 0xd7152c359e41f06626baf6beeddb5c9274fe8b147d6f814f695322a2550485ef |
|    37364*|bohr    |   As-5⁺ +   As-5⁺ +   Dz-8∙ +   Dz-9∙ +  Eb-22∙           +        7 => ⬇ Ei-5 + Ei-5 + Dz-8 + Dz-9 + Eb-22                                      +       6.65 |       0.35 | decay                        | 0x46b89db9c3adb2a991cfe7dead5c1f403d314652 | 0xb616e29cb2e97c295e478b58c8a855a8c69bdb472a0826f5285d45a6b3f8b4c2 | 0xf3e8203269a3e908a1ef115a130d29449c18706166b58367c227634b138ce41f |
|    37366*|bohr    |   As-5⁺ +   As-7∙ +   Dz-8∙ +   Dz-9∙ +  Ct-17⁻           +        7 =>   Ei-5 + As-7 + Dz-8 + Dz-9 + T-17                                       +       6.65 |       0.35 | decay                        | 0xde63c61055f5229c25bdde35fe8f947022382f4a | 0x9373638daff324477e92e66dfc3c29b104bd055ae7abc17fb36748f61e495d84 | 0x6847b34560db3c0d6564557b20efd4073505f451a5546d87cba5018bd70fa597 |
|    37368*|bohr    |   Sr-1∙ +  Eb-21∙                                         +     1000 => ⬇ Eb-22                                                                  +     350.54 |     649.46 | decay, nuclear               | 0x4ad81a2e5e1fdb4e28d2f44b374e2d80aae9fa61 | 0x4a4832ba6dc566223aec04895c521fe4793e97e18aaf46d1b9fe59f7dd7f3ae8 | 0xd9b8dda23b40b6943c892344cc04631fc659e1ca347b5e320cc8fdc275f16612 |
|    37369*|bohr    |   As-5⁺ +   As-7∙ +  Ct-17⁻ +  Eb-21∙ +  Eb-22∙           +        6 =>   Ei-5 + As-7 + T-17 + Eb-21 + Eb-22                                     +       5.70 |       0.30 | decay                        | 0xb9c6ca6cad2d023db59ad2f282f817aee8109bd1 | 0x76952f4fc7cb603ee91c6bbcc1dbe3aaa413ccee6c43dde3fe88ff7d89b7de35 | 0x6927a17ba3dee6caeea734893122cb4e5fc9f8b1f1f67f15e460484c8a5c1fab |
|    37370*|bohr    |   As-5⁺ +   As-7∙ +   Dz-8∙ +   Dz-8∙ +  Eb-21∙           +        7 => ⬇ Ei-5 + As-7 + Dz-8 + Dz-8 + Eb-21                                      +       6.65 |       0.35 | decay                        | 0xb42e2e168dee358e1dcf8f2956228a1cfd8db686 | 0xe92e462bc19e9e6083de72b66904031e075ba8819f4f769136bf8b69781483f8 | 0xd1c45c5c856ad015cae7bf62c9d72c7d312933a7782280e4515978b61257129d |
|    37375*|bohr    |   Sr-1∙ +  S-102ª                                         +     1000 =>   Sr-1 + P-22 + Co-80                                                    +     950.00 |      50.00 | decay                        | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0xc2a0ae292aef1a5119921f3cb263fda13d3236ca456aba52f4e6ef9ec8b60575 | 0x4b86691fa551ac5590044aa671510d8f8ac6d6cd08b94d5fe9815f4f6ee6d7f1 |
|    37376*|bohr    |   Sr-1∙ +   Sr-2∙ +   T-16∙                               +        0 =>   Sr-1 + Sr-2 + T-16                                                     +       0.00 |       0.00 | none                         | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 | 0x4cb71d33ab8fdff83f447433724c43b72a32dcac8840bf647b45685a3509fc5d | 0x58952f47e1b56737640d279fa417f38382895d75a53adc9b93f2375a5b0dc36f |
|    37378*|bohr    |   Sr-1∙ +   Sr-1∙ +   As-7∙ +   Dz-8∙ +  Ct-17⁻           +        1 => ⬆ Sr-1 + Sr-1 + As-7 + Dz-8 + T-17                                       +       0.95 |       0.05 | decay                        | 0xf6e39aed488043217d58d875ec83c597da844500 | 0xd864b4a99467be02f2609d51f1a18f7726437b591ad71f9c9056cd8bebd01ed3 | 0xbdc4cba85b2ba68761bddaa8fa9c246af6a4d5ab16a0a62c7fa59ae17d901e21 |
