Alpha Isotope,Token Id
Ju-1,109411192323005013320236074910166367482792971750025377481544980126703983546020
Ju-2,35159569680903626501449329353512578019171730918789714169601127546706358467814
Ju-3,97038452133166389191940970869235037672971405321159886681321332564624883738122
W-4,82314540186597377019741273775235000929070457658490928548440454198341617233474
W-5,42078377950854628111640335977147433214803563051032891496276996662995270136195
Cq-5,24022272081870620004839900104358814986139284528666772126522993888339033966256
Cq-6,32873383657618038382703013176868096063478039030768736192443854352187146678324
Cq-7,109017886057251182666336718528581053198613765019388888759076809990227452125649
Af-7,108953838289794689949517593520325863801083578306867662325615850131412479978149
Af-8,93652894349105158934513407931827023863396296658398851205876984838531481518931
Af-9,31082381356578829453384169784755566954223199248739072667402029374517319257219
Af-10,73220370080612659111184699381310873683995296685267435305119272187313674432235
Xl-9,85098605521195741666920212564323157159964481321981403766635982087249819388169
Xl-10,58442524899314396002380478605482856164075913449784894861100132475504166110953
Xl-11,80659023641277830945440821475364791514777124799755815301151453226839052440233
Xl-12,42975968090654801479094856830333222070692709861426436842898009327952347463255
Pq-10,15891305611888131437824645924890402674383914107624515195326990351601291929871
Pq-11,57047654543860736979189488896558838909186517648154931801926550692760298995468
Pq-12,76612613030139906190416043413639270804084087784678403991241784143365240601690
Pq-13,20961030898219233270150918249668917934726901654327669137074375940701318667300
Pq-14,32115790859466664320549014110206900816986766112311619409727161573860406550504
Pq-15,88177391708795508450941659125982487438730361150931237908121193762321217188212
Zz-13,42567424059813990806601974118068134134951639742991808781206668542953685683866
Zz-14,102778440634494800034222665730320253970535620183521519769203972072981002600659
Zz-15,16555996861323137168106927909571448103649780543471618318675210661754630690176
Zz-16,114300741742767021243558719002309405528518935839906020825084145467347846679383
Dx-14,7733444344978709366234310482023645368308101031014937754286400979823516187926
Dx-15,105679322411752642088911561491593062974989116523221324745906132364764445320706
Dx-16,16569425357963607198829135529625190800865258086727020394910476512940975480211
Dx-17,104745433255668978758136946221558159207043762531164878325824366788916131032188
Dx-18,70219061706966974136423224726979291514906137713196585270427657656279247893818
Dx-19,112189688167929084055883402287139204325716886866799699205469986433414306587868
Pm-17,97399257658433516715010782497308004205954685430927919921776919842067243338385
Pm-18,29863715056427171720434979194521141681246112837893985483841935182667228195468
Pm-19,71625162033614001349820323117480365677712868814813255988761332079725894729185
Pm-20,5477652329031620367835518516539523348671587725491362465848381882290404953731
Pm-21,17347872832932395013609748468952829770211104595524814142998801037318466753031
M-19,46830581903428415203072889759347853655321075346996738680415038157495336504
M-20,41531482708453860552959019439525500162618454987803772582079372108437618663362
M-21,98236862906596638552881494611726750500619181074175392433634598094815133391888
M-22,97756938773907945250728660658908427349349454182208050532038675686536993240887
M-23,107643704287486841978799745103570751555738283631513955104863877344997683201411
Fw-21,111496670010073644586059934852415601576415325816117835044985437307655452715586
Fw-22,54181014403279845043307314092649094147808837163731540371645045466085987736470
Fw-23,108614536725330747851677995657126422391180333899642198385696954939076404299085
Fw-24,14530020536527468479275287907882558873506541313036598423410951768852800572293
