N \ P |      00001 |      00002 |      00003 |      00004 |      00005 |      00006 |      00007 |      00008 |      00009 |      00010 |      00011 |      00012 |      00013 |      00014 |      00015 |      00016 |      00017 |      00018 |      00019 |      00020 |      00021 |      00022 |      00023 |      00024 |      00025 |      00026 |      00027 |      00028 |      00029 |      00030 |      00031 |      00032 |      00033 |      00034 |      00035 |      00036 |      00037 |      00038 |      00039 |      00040 |      00041 |      00042 |
00001 | Ju-1∙ 1.000|            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00002 | Ju-2∙ 1.000|  W-4∙ 1.000| Cq-5⁺ 0.017|            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00003 | Ju-3∙ 1.000|  W-5∙ 1.000| Cq-6∙ 1.000| Af-7ª 1.194|            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00004 |            |            | Cq-7∙ 1.000| Af-8∙ 1.000| Xl-9⁺ 0.32 | Pq-10⁺0.04 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00005 |            |            |            | Af-9∙ 1.000| Xl-10ª0.48 | Pq-11⁺0.43 |*Zz-12*0.07 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00006 |            |            |            | Af-10⁻0.290| Xl-11∙1.11 | Pq-12ª0.69 | Zz-13⁺0.52 |*Dx-14*0.33 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00007 |            |            |            |            | Xl-12⁻0.313| Pq-13∙1.28 | Zz-14ª0.64 | Dx-15⁺0.6  |*Pm-16*0.35 | *M-17*0.16 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00008 |            |            |            |            |*Xl-13*0.07 | Pq-14⁻0.56 | Zz-15∙1.43 | Dx-16∙1.6  | Pm-17⁺0.68 | *M-18*0.6  |*Fw-19*0.19 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00009 |            |            |            |            |            | Pq-15⁻0.27 | Zz-16⁻0.57 | Dx-17∙1.58 | Pm-18⁺0.77 |  M-19⁺0.81 |*Fw-20*0.5  |*Pt-21*0.29 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00010 |            |            |            |            |            |*Pq-16*0.07 |*Zz-17*0.49 | Dx-18∙1.65 | Pm-19∙1.83 |  M-20∙1.94 | Fw-21⁺0.84 | Pt-22⁺0.71 | *S-23*0.45 |*Zq-24*0.2  |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00011 |            |            |            |            |            |            |*Zz-18*0.08 | Dx-19⁻0.52 | Pm-20⁻0.72 |  M-21∙1.9  | Fw-22⁺0.83 | Pt-23⁺0.79 | *S-24*0.61 |*Zq-25*0.43 |*Xc-26*0.23 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00012 |            |            |            |            |            |            |            |*Dx-20*0.28 | Pm-21⁻0.6  |  M-22∙1.84 | Fw-23∙1.79 | Pt-24∙1.79 |  S-25⁺0.78 | Zq-26⁺0.70 |*Xc-27*0.57 |*Gy-28*0.27 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
00013 |            |            |            |            |            |            |            |            |*Pm-22*0.36 |  M-23⁻0.76 | Fw-24⁻0.81 | Pt-25ª0.89 |  S-26ª0.85 | Zq-27⁺0.83 | Xc-28⁺0.76 |*Gy-29*0.53 | *D-30*0.26 |*Fj-31*0.03 |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |
